Book,Chapter,Verse,Content
2 Коринтян,1,19,"„нї‟,"
2 Коринтян,1,19,"„так‟."
2 Коринтян,1,20,"„так‟"
2 Коринтян,1,20,"„амінь‟,"
1 Солунян,5,3,"„Упокій"
1 Солунян,5,3,"безпечність‟,"
Жидів,3,15,"„Сьогоднї,"
Жидів,3,15,"прогнїванню.‟"
Жидів,4,3,"„Так"
Жидів,4,3,"мій,‟"
Жидів,4,4,"„І"
Жидів,4,4,"своїх.‟"
Жидів,4,5,"„Чи"
Жидів,4,5,"мій.‟"
Жидів,4,7,"„сьогоднї‟"
Жидів,4,7,"„Сьогоднї,"
Жидів,4,7,"ваших.‟"
Жидів,5,5,"„Син"
Жидів,5,5,"Тебе.‟"
Жидів,5,6,"„Ти"
Жидів,5,6,"Мелхиседековому.‟"
Жидів,6,14,"„Істинно"
Жидів,6,14,"тебе.‟"
Жидів,7,17,"„Що"
Жидів,7,17,"Мелхиседековому.‟"
Жидів,7,21,"„Кляв"
Жидів,7,21,"Мелхиседековому‟)"
Жидів,8,5,"„Гледи"
Жидів,8,5,"бо‟,"
Жидів,8,5,"„зроби"
Жидів,8,5,"горі.‟"
Жидів,8,8,"„Ось"
Жидів,8,12,"більше.‟"
Жидів,8,13,"„новий‟,"
Жидів,9,20,"„Се"
Жидів,9,20,"Бог.‟"
Жидів,10,5,"„Жертви"
Жидів,10,7,"Боже.‟"
Жидів,10,8,"„Що"
Жидів,10,8,"єси,‟"
Жидів,10,9,"„Ось,"
Жидів,10,9,"Боже.‟"
Жидів,10,16,"„Се"
Жидів,10,16,"днїв‟,"
Жидів,10,16,"„Давши"
Жидів,10,17,"вже.‟"
Жидів,10,30,"„Менї"
Жидів,10,30,"Господь‟;"
Жидів,10,30,"„Господь"
Жидів,10,30,"своїх.‟"
Жидів,10,38,"„А"
Жидів,10,38,"буде,‟"
Жидів,10,38,"„Коли"
Жидів,10,38,"його.‟"
Жидів,11,5,"„не"
Жидів,11,5,"Бог‟:"
Жидів,11,5,"„що"
Жидів,11,5,"Богу.‟"
Жидів,11,18,"„Що"
Жидів,11,18,"насїннє,‟"
Жидів,11,21,"„склонивсь"
Жидів,11,21,"свого‟."
Жидів,12,5,"„Сину"
Жидів,12,6,"приймає.‟"
Жидів,12,12,"„зомлїлі"
Жидів,12,12,"випростайте‟,"
Жидів,12,13,"„стежки"
Жидів,12,13,"вашими‟,"
Жидів,12,20,"„Хоч"
Жидів,12,20,"пробитий.‟"
Жидів,12,21,"„Я"
Жидів,12,21,"трепетї.‟)"
Жидів,12,26,"„Ще"
Жидів,12,26,"небом.‟"
Жидів,12,27,"„ще"
Жидів,12,27,"раз‟"
Жидів,13,5,"„Не"
Жидів,13,5,"тебе.‟"
Жидів,13,6,"„Господь"
Жидів,13,6,"чоловік?‟"
Жидів,13,15,"„овощ"
Жидів,13,15,"уст‟,"
Якова,2,8,"„Люби"
Якова,2,8,"самого‟,"
Якова,2,11,"„Не"
Якова,2,11,"перелюбу,‟"
Якова,2,11,"„Не"
Якова,2,11,"вбивай.‟"
Якова,2,23,"„Увірував"
Якова,2,23,"його.‟"
Якова,4,5,"„До"
Якова,4,5,"нас?‟"
Якова,4,6,"„Господь"
Якова,4,6,"благодать.‟"
1 Петра,1,16,"„Будьте"
1 Петра,1,16,"сьвят.‟"
1 Петра,1,24,"„всяке"
1 Петра,1,25,"вік.‟"
1 Петра,2,6,"„Ось,"
1 Петра,2,6,"ся.‟"
1 Петра,2,7,"„камінь,"
1 Петра,2,7,"поблазнї‟;"
1 Петра,2,24,"„ранами"
1 Петра,2,24,"сцїлились‟."
1 Петра,3,10,"„Хто"
1 Петра,3,12,"роблять.‟"
1 Петра,4,18,"„праведник"
1 Петра,4,18,"ся?‟"
1 Петра,5,5,"„Бог"
1 Петра,5,5,"благодать.‟"
2 Петра,1,17,"„Се"
2 Петра,1,17,"Його.‟"
2 Петра,2,22,"„Пес"
2 Петра,2,22,"блювотини‟,"
2 Петра,2,22,"„свиня,"
2 Петра,2,22,"калюжу‟."
Юди,1,14,"„Ось,"
Юди,1,15,"безбожні.‟"
