Book,Chapter,Verse,Content
MAT,11,10,"Ось посилаю ангела мого перед лицем твоїм, що приготовить дорогу твою перед тобою."
MAT,11,23,"піднявсь аж під небо,"
MAT,11,23,"провалиш ся в саме пекло;"
MAT,11,29,"знайдете відпочинок душам вашим."
MAT,12,7,"Милости хочу, а не жертви,"
MAT,12,18,"Се слуга мій, що я вибрав; любий мій, що вподобала Його душа моя; положу духа мого на Него, й вістити ме поганам суд;"
MAT,12,19,"не змагати меть ся, і не кричати ме, й голосу його ніхто не чути ме по улицях;"
MAT,12,20,"приломаної тростини не доломить, і льону димуючого не потушить, доки не доведе суду до подуги;"
MAT,12,21,"і на ймя його вповати муть погане."
MAT,12,40,"Йона був три дні й три ночі у кита в череві,"
MAT,13,14,"Слухом слухати мете, та й не зрозумієте, й, дивлячись, бачити мете, та й не постережете."
MAT,13,15,"Затверділо бо серце народу сього, й ушима тяжко чують, й очі свої вони заплющили, щоб инколи не побачити очима, й не почути ушима, й не зрозуміти серцем, і не навернутись, щоб сцілив я їх."
MAT,13,32,"птаство небесне"
MAT,13,32,"кублитись між гіллєм його."
MAT,13,35,"Одкрию в приповістях уста мої, промовлю втаєне від настання світа."
MAT,13,43,"праведні сияти муть, як сонце"
MAT,15,4,"Поважай батька твого й матір,"
MAT,15,4,"Хто лає батька або матір, нехай умре смертю."
MAT,15,8,"Народ сей приближуєть ся до мене губами своїми, й устами мене шанує, серце ж їх далеко від мене."
MAT,15,9,"Та марно вони поклоняють ся мені, навчаючи наук заповідей чоловічих."
MAT,16,27,"тоді віддасть кожному по ділам його."
MAT,17,5,"Се Син мій любий, що я Його вподобав;"
MAT,17,5,"Його слухайте."
MAT,18,16,"при устах двох свідків, або трьох, стало кожне слово."
MAT,19,4,"чоловіком і жінкою втворив їх"
MAT,19,5,"Тому чоловік покине батька й матір та пригорнеть ся до жінки своєї, й будуть удвох тіло одно;"
MAT,19,7,"давати розвідний лист і розводитись із нею"
MAT,19,18,"Не вбивай, Не роби перелюбу, Не крадь, Не свідкуй криво;"
MAT,19,19,"Поважай батька твого й матір,"
MAT,19,19,"Люби ближнього твого, як себе самого."
MAT,21,5,"Скажіть дочці Сионській: Ось цар твій іде до тебе, тихий, сидячи на ослі й на осляті, синові підяремної."
MAT,21,9,"Благословен грядущий в імя Господнє;"
MAT,21,13,"Дом мій дім молитви звати меть ся;"
MAT,21,13,"вертепом розбійників."
MAT,21,16,"Що з уст немовляток і ссущих вирядив єси хвалу"
MAT,21,33,"насадив виноградник, і обгородив його тином, і викопав у йому винотоку, й збудував башту,"
MAT,21,42,"Камінь, що відкинули будівничі, сей став ся головою угла. Від Господа стало ся се, й дивне воно в очах наших?"
MAT,22,24,"Коли хто вмре, не мавши дітей, то нехай брат його оженить ся з жінкою його, й воскресить насіннє братові своєму."
MAT,22,32,"Я Бог Авраамів, і Бог Ісааків, і Бог Яковів"
MAT,22,37,"Люби Господа Бога твого всім серцем твоїм, і всею душею твоєю, і всею думкою твоєю."
MAT,22,39,"Люби ближнього твого, як себе самого."
MAT,22,44,"Рече Господь Господеві моєму: Сиди по правиці в мене, доки положу ворогів Твоїх підніжком ніг твоїх"
MAT,23,38,"оставляєть ся вам дім ваш пустий."
MAT,23,39,"Благословен грядущий в імя Господнє!"
MAT,24,15,"гидоту спустіння,"
MAT,24,29,"сонце померкне, й місяць не давати ме світла свого, й зорі попадають"
MAT,24,29,"сили небесні"
MAT,24,30,"Сина чоловічого, грядущого на хмарах небесних"
MAT,24,31,"голосним гуком трубним,"
MAT,24,31,"позбирають вони"
MAT,26,31,"Поражу пастиря, і розсиплють ся вівці стада."
MAT,26,64,"Сина чоловічого, по правиці сили,"
MAT,26,64,"грядущого на хмарах небесних."
MAT,27,9,"І взяли вони трийцять срібняків, ціну ціненного,"
MAT,27,10,"і дали їх на ганчарське поле, як повелів мені Господь."
MAT,27,35,"Поділили собі шати мої, й на одежу мою кинули жереб."
MAT,27,43,"Він уповав на Бога; нехай тепер визволить Його, коли хоче Його;"
MAT,27,46,"Ілі, Ілі лама савахтані;"
MAT,27,46,"Боже мій, Боже мій, чом мене покинув єси?"
MAT,27,48,"оцтом"
