Book,Chapter,Verse,Content
1PE,3,7,"зʼупинялись"
REV,1,13,"зʼодягненого"
REV,3,5,"зʼодягнеть"
REV,3,18,"зʼодягнув"
REV,4,4,"зʼодягнених"
REV,7,9,"зʼодягнені"
REV,7,13,"зʼодягнені"
REV,10,1,"зʼодягненого"
REV,10,9,"зʼїж"
REV,10,10,"зʼїв"
REV,10,10,"зʼїв"
REV,11,3,"зʼодягнені"
REV,11,5,"зʼобідити"
REV,11,5,"зʼобідити"
REV,12,1,"зʼодягнена"
REV,15,6,"зʼодягнені"
REV,17,4,"зʼодягнена"
REV,17,16,"зʼїдять,"
REV,18,16,"зʼодягнений"
REV,19,8,"зʼодягла"
REV,19,13,"зʼодягнений"
REV,19,14,"зʼодягнені"
REV,22,11,"зʼобіжає,"
REV,22,11,"зʼобіжає,"
